vuln_preview,generated_preview,ground_truth_preview,fixed_by_rule,similarity
"<input id=""client_id""
value={ this.state.clientId }
<input id=""client_secret""
value={ this.state.cli","import React from ""react""
import PropTypes from ""prop-types""

export default class InitializedInput extends React.Component {
  componentDidMount() {
","const InitializedInput = getComponent(""InitializedInput"")
<InitializedInput id=""client_id""
initialVa",True,0.6300168037414551
"String dbFileName = String.format(""sqlite-jdbc-tmp-%d.db"", resourceAddr.hashCode());
-","import java.security.SecureRandom;
String dbFileName = String.format(""sqlite-jdbc-tmp-%08x.db"", new SecureRandom().nextInt());","import java.util.UUID;
String dbFileName = String.format(""sqlite-jdbc-tmp-%s.db"", UUID.randomUUID())",True,0.8501542806625366
"default:
return 0;
-","default:
return 0;
-","default: {
TProtocolException::throwInvalidSkipType(arg_type);
}",False,0.9999999403953552
"versionCode 189
versionName ""27.189""
<string>27.189</string>
-","versionCode 190
versionName ""27.190""
<string>27.190</string>
-","versionCode 190
versionName ""27.190""

## 27.190 (2022-08-23)

<string>27.190</string>",True,0.8932937383651733
"let json;
let raw;
res.close();
return;
raw = Buffer.concat([buffer, chunk]).toString();
res.close()","let json;
let raw = '';
res.close();
return;
try {
  raw = Buffer.concat([buffer, chunk]).toString();
} catch (e) {
  // Handle error appropriately
}
","let json = {};
let raw = '{}';
//
try {
raw = Buffer.concat([buffer, chunk]).toString();
} catch (e)",True,0.9496203064918518
"compiler->loop_depth--;
compiler->loop_identifier[compiler->loop_depth] = NULL;
-","compiler->loop_depth--;
if (compiler->loop_depth >= 0) {
    compiler->loop_identifier[compiler->loop_depth] = NULL;
}","if (compiler->loop_depth > 0)
{
compiler->loop_depth--;
compiler->loop_identifier[compiler->loop_dep",True,0.9598952531814575
"* set up for use in conjunction with a block cipher to handle the
* message.
byte[] M = null, K = nu","byte[] M = null, K = null, K1 = null, K2 = null;
int len;

len = K1.length;
cipher.init(false, new KeyParameter(K1));
len += cipher.doFinal(M, len);

","* Set up for use in conjunction with a block cipher to handle the
* message.It is <b>strongly</b> re",True,0.8773776292800903
"int i;
init_get_bits(&gb, nal->data + 1, (nal->size - 1) * 8);
-","int i, ret;
ret = init_get_bits8(&gb, nal->data + 1, nal->size - 1);
if (ret < 0) {
av_log(h->avctx, AV_LOG_ERROR, ""Invalid zero-sized VCL NAL unit\n""","int i, ret;
ret = init_get_bits8(&gb, nal->data + 1, nal->size - 1);
if (ret < 0) {
av_log(h->avctx,",True,0.8318244218826294
2018-04-11 Fixed bug#[13782](https://bugs.otrs.org/show_bug.cgi?id=13782) - Set of customer dynamic ,"TicketID => $Param{TicketID},
IsVisibleForCustomer => 0,",- 2018-04-13 Fixed bug#[13801](https://bugs.otrs.org/show_bug.cgi?id=13801) - Preview of internal ar,True,0.6543518304824829
"headers.emplace(key, val);
headers.emplace(key, val);
headers.emplace(key, val);
headers.emplace(key","inline bool has_crlf(const char* s) {
    auto p = s;
    while (*p) {
        if (*p == '\r' || *p == '\n') {
            return true;
        }
    ","inline bool has_crlf(const char* s) {
auto p = s;
while (*p) {
if (*p == '\r' || *p == '\n') {
retur",True,0.7571719288825989
